id,email_body,PII,QID
MAIL01,"Sarah recently visited her family doctor for a routine check-up. During the appointment, her doctor noted that Sarah's date of birth is 05/12/1982, and her social security number is 987-65-4320. Sarah resides at 123 Main Street, Anytown, USA, 12345.",DOB / SSN,Address
MAIL02,"John is a loyal customer of a retail chain. His customer loyalty card number is 3456789012, and his credit card number on file is 4321 8765 4321 9876. John's residential address is 456 Oak Road, Somewhere, CA, 67890.",CC,Member Card name / Address
MAIL03,"Emily recently applied for a new job. As part of the application process, she provided her driver's license number, ABC123, and her passport number, X98765432. Emily's current residential ZIP code is 54321.",License Plate / Passport ID,Zip Code
MAIL04,"Michael is a frequent traveler and often books flights online. His frequent flyer number is 7890123456, and his TSA PreCheck number is 12345678. Michael's hometown ZIP code is 98765.",,Frequent Flyer num / TSA precheck number / Zip Code
MAIL05,"Jessica is a student at a local university. Her student ID number is 2023456789, and her vehicle license plate number is ABC 1234. Jessica's birth year is 1998.",DOB / Licence Plate,Student ID
MAIL06,"Robert recently applied for a new credit card. During the application process, he provided his social security number (987-65-4321), date of birth (01/15/1985), and current residential address (456 Elm Street, Somewhere, CA, 90210). The credit card company also requested Robert's driver's license number (D1234567) and his vehicle identification number (1G8AJ5SX7EZ123456) for verification purposes.",DOB  / SSN / License Plate,Vehicle ID num
MAIL07,"Samantha is a frequent shopper at a popular online retailer. Her account information includes her customer ID (SAM98765), credit card number (4321 9876 5432 1098), and billing ZIP code (12345). Samantha's shipping address is 789 Pine Road, Anytown, USA, 67890, and her date of birth is 06/22/1990.","DOB, CC",Customer ID / Zip  Code / Address
MAIL08,"Michael is a member of a local gym. His membership number is 2468013579, and his health insurance policy number is ABC123DEF456. Michael's residential address is 159 Oak Avenue, Somewhere, NY, 54321, and his birth year is 1988.",DOB,Member ID / health insurance ID / Address
MAIL09,"Emily recently enrolled in a new health insurance plan. As part of the enrollment process, she provided her social security number (123-45-6789), date of birth (03/10/1992), and current residential address (789 Maple Lane, Anytown, CA, 98765). Emily's driver's license number is C1234567, and her passport number is X12345678.",SSN / DOB / Passport ID,Address
MAIL10,"Ava recently applied for a new credit card. During the application process, she provided her social security number (246-80-1357), date of birth (11/22/1991), and current residential address (789 Elm Street, Anytown, CA, 98765). The credit card company also requested Ava's driver's license number (C9876543) and her vehicle identification number (1G8AJ5SX7EZ123456) for verification purposes.",SSN / DOB / License Plate,Address / Vehicle ID num
